Бренд;Артикул;Наименование номенклатуры;Количество;Окончательная цена
ABSEL;GM422001;Диск тормозной передний (окрашенный);2;3213
ABSEL;WG421004;Диск тормозной задний;2;1624
BOSCH;1986AE0105;Реле регулятор;1;2772
CTR;GK0973;Колодки тормозные передние;3;1267
MANN-FILTER;WP92881;Фильтр масляный;1;1395
JIKIU;BH22305H;Сайлентблок рычага передней подвески задний;2;2844
RTS;9290933;Тяга рулевая без наконечника;1;1033
BREMBO;P34005;Колодки тормозные передние;1;2895
ABSEL;CT200003;Натяжитель приводного ремня;3;3704
ABSEL;TY330242R;Рычаг подвески передней правый;2;6326
ABSEL;RN420021;Колодки тормозные передние;5;1671
ABSEL;MZ330069;Рычаг подвески передней;2;2847
ABSEL;HY350035R;Стойка стабилизатора переднего правая;2;525
ABSEL;FR350061;Стойка стабилизатора переднего;2;751
ABSEL;AU330063R;Рычаг подвески передней правый;2;1999
ABSEL;BW352009;Сайлентблок рычага задней подвески;2;390
JIKIU;BL26004;Втулка стабилизатора переднего;2;404
MASUMA;MFA470;Фильтр воздушный;1;402
ABSEL;OC6104;Фильтр масляный;3;214
MASUMA;MFAC0533;Фильтр воздушный;1;872
ABSEL;LX28122;Фильтр воздушный;1;577
MASUMA;RU480;Сайлентблок рычага задней подвески продольного передний;4;649
ABSEL;HY336025;Опора шаровая;1;926
ABSEL;IS330017L;Рычаг подвески передней левый;2;5317
ABSEL;SK460003;Тяга рулевая;4;677
ABSEL;SK460006;Тяга рулевая;2;671
ABSEL;HN460025;Тяга рулевая;2;425
ABSEL;NS350073L;Стойка стабилизатора заднего левая;4;1019
JIKIU;BL28303;Втулка стабилизатора переднего;2;519
ABSEL;HN330027L;Наконечник рулевой тяги левый;2;773
ABSEL;FR330077R;Наконечник рулевой тяги правый;2;887
ABSEL;AU330066L;Рычаг подвески передней левый;2;7119
ABSEL;MT350019;Стойка стабилизатора переднего;2;479
ABSEL;BW330239R;Рычаг подвески передней правый;2;5220
MASUMA;MBB0092;Ремкомплект суппорта тормозного заднего;1;366
TSN;93733;Фильтр топливный;10;740
ABSEL;JE052002K;Комплект ремня ГРМ;1;5211
ABSEL;CT460002;Тяга рулевая;2;724
ABSEL;MT350008;Рычаг подвески задней;2;3812
ABSEL;HY340020;Пыльник с отбойником амортизатора переднего;5;387
ABSEL;FR340029;Пыльник с отбойником амортизатора переднего;2;447
ABSEL;OP328009;Сайлентблок рычага передней подвески;2;313
ABSEL;NS340011;Пыльник с отбойником амортизатора переднего;4;387
ABSEL;MS460136;Тяга рулевая;3;614
ABSEL;TY340003;Пыльник с отбойником амортизатора переднего;2;395
ABSEL;TY328016;Сайлентблок рычага передней подвески;4;783
ABSEL;XP870138;Свеча зажигания IPRAH8Q-7 (Iridium+Platinum);9;496
ABSEL;UH101010;Лампа галогенная H10 PY20d 12V 42W ORIGINAL;10;233
ABSEL;GM504007;Радиатор отопителя салона;2;1826
ABSEL;NS350085L;Стойка стабилизатора заднего левая;4;583
ABSEL;HN350116R;Стойка стабилизатора переднего правая;1;754
ABSEL;MT460028;Тяга рулевая;2;1054
ABSEL;NS345009;Пружина подвески передней;2;1206
ABSEL;MT330004;Наконечник рулевой тяги;2;547
ABSEL;NS345094;Пружина подвески задней;2;848
ABSEL;FR350033;Стойка стабилизатора переднего;2;574
ABSEL;MS328043;Сайлентблок рычага передней подвески;2;651
ABSEL;PG328027;Сайлентблок рычага передней подвески;4;514
ABSEL;LR352008;Сайлентблок рычага задней подвески;3;1428
ABSEL;KI330014R;Наконечник рулевой тяги правый;2;971
ABSEL;RN422011;Диск тормозной передний (окрашенный);2;3289
ABSEL;LA342013R;Амортизатор подвески масляный передний правый;2;3593
ABSEL;HN336023L;Опора шаровая левая;2;994
BOSCH;3397008050;Щетка стеклоочистителя заднего;1;814
TEKNOROT;DA203;Тяга рулевая без наконечника;2;532
ABSEL;BW330273L;Тяга рулевая с наконечником левая;1;2322
MASUMA;MFAT005;Фильтр воздушный;1;392
MASUMA;MFA975;Фильтр воздушный;1;382
ABSEL;KI330025L;Наконечник рулевой тяги левый;2;747
MASUMA;4PK825;Ремень поликлиновый;1;374
ABSEL;SK330028R;Тяга рулевая с наконечником правая;2;1388
ABSEL;LA330007L;Наконечник рулевой тяги левый;2;737
ZIC;162624;Масло трансмиссионное  ZIC GFT 75W-85  4л;1;3104
JIKIU;ER43016;Тяга рулевая без наконечника;2;1542
ABSEL;CT330051R;Рычаг подвески передней правый;2;4429
ABSEL;BW320023;Втулка стабилизатора переднего;2;379
ABSEL;TY460018;Тяга рулевая;2;602
MEAT&DORIA;20126;Насос омывателя лобового стекла;3;716
FEBI;19417;Болт ГБЦ;10;108
ABSEL;TY330221L;Рычаг подвески передней левый;2;3711
FEBI;1243;Гровер шпильки колесной;3;16
MEAT&DORIA;76509;Мотор насоса топливного;2;1644
TEKNOROT;CH303;Тяга рулевая без наконечника;2;762
FEBI;21903;Гайка;1;327
CTR;GV0591L;Сайлентблок рычага задней подвески продольного левый;1;1188
TIXONA;50150;Гофра глушителя 50x150;1;780
CTR;GC0005;Болт эксцентриковый;3;447
JIKIU;BL22040;Втулка стабилизатора переднего;2;552
JIKIU;LS28010;Стойка стабилизатора переднего;2;1149
ABSEL;MT205076;Насос системы охлаждения;1;1592
ABSEL;HY348013;Опора амортизатора заднего;2;498
ABSEL;AU420020;Колодки тормозные передние;5;1590
ABSEL;WG421001;Диск тормозной передний;6;1967
ABSEL;NS420004;Колодки тормозные передние;4;1505
ABSEL;MS328100;Сайлентблок рычага передней подвески;8;1609
ABSEL;NS330067R;Наконечник рулевой тяги правый;5;802
ABSEL;OX6006Z;Фильтр масляный картридж;1;211
PETRONAS;77330E18EU;Жидкость охлаждающая PETRONAS TUTELA COOLANT LL-SI(G12++) 1L;10;731
ABSEL;MZ345041;Пружина подвески задней;2;1175
ABSEL;TY342619L;Амортизатор подвески газовый передний левый;1;3881
ABSEL;BW340009;Пыльник с отбойником амортизатора переднего;1;466
MANN-FILTER;C30115;Фильтр воздушный;1;910
MANN-FILTER;HU825X;Фильтр масляный картридж;1;736
FEBI;21985;Подшипник вала приводного подвесной;1;519
MASUMA;MFAC0481;Фильтр воздушный;1;640
ZIC;132629;Масло трансмиссионное  ZIC GFT 75W-90  1л;10;989
BREMBO;P85164;Колодки тормозные передние;1;7438
BGA;CH0503A;Прокладка ГБЦ;1;3941
LIQUIMOLY;2381;Жидкость трансмиссионная LIQUI MOLY ATF TOP TEC 1800 1L;10;1214
ABSEL;WG330145L;Наконечник рулевой тяги левый;2;800
ABSEL;KI330015L;Наконечник рулевой тяги левый;2;966
BGA;V991863;Клапан впускной;10;303
ABSEL;AU202019;Ролик обводной приводного ремня;3;921
GREAT WALL;3502126XGW02A;Колодки тормозные задние;3;6417
REMSA;108200;Колодки тормозные передние;1;2327
JIKIU;CE28001;Пыльник наконечника рулевого;2;294
ABSEL;MT350009;Рычаг подвески задней;4;1207
LUK;623322700;Комплект сцепления (корзина, диск, подшипник);1;17375
INA;535022610;Муфта генератора обгонная;1;2794
FILTRON;OE6854;Фильтр масляный картридж;1;312
MANN-FILTER;PU9411X;Фильтр топливный элемент;1;1546
MASUMA;MR3600;Тяга рулевая без наконечника;1;826
RTS;9190309010;Наконечник рулевой тяги правый;1;1268
RTS;9202409010;Тяга рулевая без наконечника;1;1041
BREMBO;09B56511;Диск тормозной передний вентилируемый;2;4272
HDE;79501006;Цепь ГРМ;2;1092
ELRING;981230;Прокладка впускного коллектора;1;273
MOBIL;148528;Жидкость трансмиссионная MOBIL ATF 320 1L;10;678
ABSEL;RN052005K;Комплект ремня ГРМ;10;2607
PETRONAS;70731251EU;Масло моторное PETRONAS SYNTIUM 3000 E 5W-40 200L;5;139812
PETRONAS;70803E18EU;Масло моторное PETRONAS SYNTIUM 7000 HYBRID 0W-20 1L;3;815
RTS;3500196;Втулка стабилизатора заднего;1;179
MOBIL;157918;Жидкость трансмиссионная MOBIL ATF 3309 1L;50;1137
ABSEL;LA500022;Радиатор системы охлаждения;1;5184
ABSEL;FR500026;Радиатор системы охлаждения;1;8460
ABSEL;PS424035R;Диск тормозной передний правый с насечками;2;5756
ABSEL;MS502013;Радиатор кондиционера;1;7166
ABSEL;ES150022;Датчик положения коленвала;2;981
ABSEL;ES152097;Датчик кислорода;2;2650
ABSEL;ES152160;Датчик кислорода;2;6233
ABSEL;ES152214;Датчик кислорода;2;2168
ABSEL;ES155011;Датчик массового расхода воздуха;2;4525
ABSEL;ES155019;Датчик массового расхода воздуха;2;3533
ABSEL;ES155155;Датчик массового расхода воздуха;2;4570
ABSEL;ES421279R;Датчик ABS задний правый;2;1739
ABSEL;FR422016;Диск тормозной задний (окрашенный);2;2420
RTS;91024011;Наконечник рулевой тяги правый;1;1139
MASUMA;MS8465;Колодки тормозные передние;1;1772
INA;423005110;Коромысло клапана;1;1072
MASUMA;ME9814R;Наконечник рулевой тяги правый;1;1115
LAVR;LN7747;LAVR MOTO Масло моторное RIDE SPECIAL 4Т 10W40 SN, 1 л;2;603
GANZ;GIR01008;Фильтр масляный;2;155
VAG;059103161AJ;прокладка металлическая для л/а;1;5660
MASUMA;MPU049;Фильтр-сетка насоса топливного;2;252
MASUMA;MFFN212;Фильтр топливный в бак;1;1136
BOSCH;3397007430;К-т стеклоочистителей aerotwin a430s. 600/530 мм;1;2077
ABSEL;ES155132;Датчик массового расхода воздуха;2;3115
ABSEL;ES152136;Датчик кислорода;2;6243
ABSEL;MT330020L;Наконечник рулевой тяги левый;2;1088
VARTA;560408054;Аккумулятор VARTA 12V L2 60Ah 540A (0) ОП (легковая) type EURO (242x175x190);3;7284
MERCEDES-BENZ;N912007005000;Фиксатор;9;216
BOSCH;221506002;Катушка системы зажигания;1;2648
INA;534010410;Натяжитель ремня поликлинового;1;3564
INA;532022410;Ролик обводной ремня п/клин;1;1153
TRW;GDB1653;Колодки тормозные задние;1;2798
BILSTEIN;22183644;Амортизатор подвески газовый передний левый;2;7540
BILSTEIN;22045744;Амортизатор подвески газовый передний;2;5037
BILSTEIN;11115755;Комплекомплект пыльников с отбойниками амортизатора задний;2;2214
BOSCH;F00ZZ20003;Промежуточная шайба;50;727
BOSCH;1410501072;Шайба уплотнительная форсунки топливной;1;191
BOSCH;2430210081;Кольцо уплотнительное;1;262
BOSCH;281002655;Датчик абсолютного давления;1;3222
BOSCH;2460210012;Кольцо уплотнительное;1;169
BOSCH;F00ZW00003;Втулка распылителя форсунки;10;212
BOSCH;1904529907;Предохранитель 20А;3;14
BOSCH;1904529908;Предохранитель 25А;1;11
BOSCH;1904529903;Предохранитель 5А;5;9
BOSCH;1280210752;Кольцо уплотнительное форсунки топливной;1;52
BOSCH;1004336564;Узел щеточный стартера;1;862
DENSO;ITL20;Свеча зажигания иридиевая;4;1077
DENSO;PK20PR11;Свеча зажигания платиновая;4;906
DENSO;PK20R8;Свеча зажигания платиновая;3;869
DENSO;U22FSRU;Свеча зажигания;4;234
FEBI;24221;Сайлентблоки рычагов подвески;2;884
FEBI;1022;Сайлентблок;1;386
FEBI;31706;Стойка стабилизатора;2;1535
FEBI;22408;Стойка стабилизатора;2;1317
FEBI;1796;Подшипники опоры стойки амортизатора;3;1223
FEBI;10576;Насос подкачки;1;642
FEBI;8606;Прокладка клап. крышки;1;399
FEBI;31793;Заглушка ГБЦ;2;46
FEBI;2318;Втулка тяги КПП;3;41
FEBI;15193;Клапан ТНВД;1;280
FEBI;1211;Крышка радиатора;4;263
FEBI;4572;Пробка масл. поддона;1;131
FEBI;9487;Шланг топливный;10;161
FEBI;7722;Трубка пластиковая для компрессорной установки 6мм*25м;2;141
FEBI;25166;Шестерня распредвала;1;1279
FEBI;8018;Комплект пыльников;6;803
FEBI;3360;Колпачки маслосъемные;8;41
ELRING;433301;Прокладка коллектора впускного;1;247
ELRING;130430;Прокладка коллектора впускного;3;161
ELRING;27150;Прокладка коллектора Ford Mondeo 2.0TDCi/2.4TDCi 00 In (8);4;204
ELRING;432581;Прокладка выпускного коллектора;1;338
ELRING;388200;Прокладка крышки клапанов;1;1449
ELRING;617852;Прокладка передней крышки ДВС;10;99
ELRING;900650;Прокладки форсунки топливной, к-кт;2;2067
ELRING;466042;Сальник коленвала передний;1;656
FEBI;21588;Болт колесный;1;228
FEBI;21404;Болт ГБЦ;1;153
FEBI;2062;Болт колесный;1;109
FEBI;8476;Болт колесный;10;77
FEBI;4912;Болт колесный;1;133
FEBI;10422;Гайка рессоры;10;115
FEBI;30005;Гайка шестигранная с буртиком;2;81
FEBI;27413;Гайка колесная;10;44
FEBI;26587;Гайка колесная;10;345
FEBI;22080;Крышка радиатора;1;325
FEBI;22001;Клапан отопителя;1;1190
FEBI;4929;Коромысло клапана;1;1509
FEBI;30097;Шкив коленвала;1;5471
FEBI;10039;Кольцо резиновое для крепления глушителя;1;183
FEBI;1239;Кронштейн глушителя;1;384
FEBI;22715;Втулка стабилизатора переднего;2;341
FEBI;17730;Втулка стабилизатора переднего;1;128
FEBI;1674;Втулка стабилизатора переднего;2;226
FEBI;22804;Втулка стабилизатора переднего;1;119
FEBI;9522;Опора амортизатора заднего;1;393
FEBI;23410;Отбойник амортизатора заднего;1;462
FEBI;8017;Отбойник амортизатора;1;396
FEBI;30915;Наконечник рулевой тяги;1;618
FEBI;31273;Наконечник рулевой тяги;2;1188
FEBI;2238;Наконечник рулевой тяги правый;1;551
FEBI;23087;Наконечник рулевой тяги левый;1;1567
FEBI;27069;Сайлентблок;1;1685
FEBI;30970;Сайлентблок;1;604
FEBI;8818;Сайлентблок;1;352
FEBI;11663;Сайлентблок рычага передней подвески задний;2;472
FEBI;9118;Сайлентблок;2;217
FEBI;23945;Шланг тормозной;2;808
FEBI;18572;Шланг тормозной;2;672
FEBI;2105;Пружина тормозной колодки;1;27
FEBI;2104;Пружина тормозной колодки;2;63
FEBI;30157;Фильтр АКПП с прокладкой поддона;1;1550
FEBI;15956;Свеча накаливания;8;762
GATES;TH25782G1;Термостат;1;882
INA;420007210;Толкатель клапана гидравлический;8;771
INA;420004710;Толкатель клапана гидравлический;8;818
INA;420004210;Толкатель клапана гидравлический;8;1104
INA;420006310;Толкатель клапана гидравлический;8;666
INA;530006910;Комплект ремня ГРМ;1;5733
INA;530048210;Комплект ремня ГРМ;4;8661
INA;530008910;Комплект ремня ГРМ;1;7373
